system:index,area,histogram,site_code,.geo
2019.0_00000000000000000005,5.919099660911393E9,"{null=1.2510645E7, 1=3.8412506E7, 3=123.0, 2=2629039.0, 7=51526.0, 6=370117.0, 4=24240.0, 5=4866737.0, 8=149518.0, 0=317386.0}",rio_napo_below_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019.0_00000000000000000006,1.3545183661914322E8,"{null=202763.0, 1=1104914.0, 3=94.0, 2=2336.0, 7=190.0, 6=40047.0, 4=464.0, 5=1286.0, 8=613.0, 0=5226.0}",rio_tena,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020.0_00000000000000000000,6.860124567052346E7,"{1=663777.0, 2=1476.0, 7=43.0, 6=16068.0, 4=1069.0, 5=2777.0, 0=2498.0}",Llandia,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020.0_00000000000000000001,1.0933858569889357E7,"{1=99857.0, 2=792.0, 7=3883.0, 6=137.0, 4=781.0, 5=3946.0, 0=279.0}",mining_shed,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020.0_00000000000000000002,8.186975093333975E8,"{null=808553.0, 1=7171985.0, 3=1.0, 2=19951.0, 7=9689.0, 6=58847.0, 4=33787.0, 5=26467.0, 8=19491.0, 0=58535.0}",rio_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020.0_00000000000000000003,1.6883271846844034E9,"{null=1789334.0, 1=1.4674268E7, 3=250.0, 2=35983.0, 7=5151.0, 6=246988.0, 4=60559.0, 5=29398.0, 8=33812.0, 0=47106.0}",rio_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020.0_00000000000000000004,3.231897661181557E9,"{null=3470957.0, 1=1.8530298E7, 3=143.0, 2=3591632.0, 7=99562.0, 6=50258.0, 4=101567.0, 5=6315121.0, 8=98534.0, 0=137027.0}",rio_nago_above_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020.0_00000000000000000005,5.919099660911393E9,"{null=6114918.0, 1=4.2005313E7, 3=427.0, 2=3648895.0, 7=120370.0, 6=414702.0, 4=198394.0, 5=6373728.0, 8=152092.0, 0=302998.0}",rio_napo_below_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020.0_00000000000000000006,1.3545183661914322E8,"{null=107124.0, 1=1173931.0, 3=227.0, 2=5297.0, 7=233.0, 6=41556.0, 4=22200.0, 5=2645.0, 8=247.0, 0=4473.0}",rio_tena,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021.0_00000000000000000000,6.860124567052346E7,"{null=140.0, 1=653356.0, 2=5033.0, 7=42.0, 6=20457.0, 4=3437.0, 5=2949.0, 0=2294.0}",Llandia,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021.0_00000000000000000001,1.0933858569889357E7,"{1=95483.0, 2=2787.0, 7=2258.0, 6=293.0, 4=320.0, 5=8438.0, 0=96.0}",mining_shed,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021.0_00000000000000000002,8.186975093333975E8,"{null=844782.0, 1=7078606.0, 3=143.0, 2=57834.0, 7=9804.0, 6=71198.0, 4=38073.0, 5=33905.0, 8=12911.0, 0=60050.0}",rio_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021.0_00000000000000000003,1.6883271846844034E9,"{null=3302536.0, 1=1.3045355E7, 3=355.0, 2=61139.0, 7=1734.0, 6=318326.0, 4=109831.0, 5=32453.0, 8=6576.0, 0=44544.0}",rio_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021.0_00000000000000000004,3.231897661181557E9,"{null=6109968.0, 1=1.7893498E7, 3=13.0, 2=2295009.0, 7=68432.0, 6=46346.0, 4=154872.0, 5=5453753.0, 8=236700.0, 0=136508.0}",rio_nago_above_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021.0_00000000000000000005,5.919099660911393E9,"{null=1.0294905E7, 1=3.9637159E7, 3=511.0, 2=2418288.0, 7=86665.0, 6=502724.0, 4=305986.0, 5=5524343.0, 8=256426.0, 0=304830.0}",rio_napo_below_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021.0_00000000000000000006,1.3545183661914322E8,"{null=432455.0, 1=865052.0, 3=307.0, 2=3249.0, 7=233.0, 6=49844.0, 4=451.0, 5=1427.0, 8=1102.0, 0=3813.0}",rio_tena,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022.0_00000000000000000000,6.860124567052346E7,"{1=657625.0, 2=3531.0, 7=287.0, 6=18623.0, 4=1324.0, 5=4146.0, 0=2172.0}",Llandia,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022.0_00000000000000000001,1.0933858569889357E7,"{1=95987.0, 2=2182.0, 7=665.0, 6=173.0, 4=784.0, 5=9724.0, 0=160.0}",mining_shed,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022.0_00000000000000000002,8.186975093333975E8,"{null=98026.0, 1=7875449.0, 3=1.0, 2=38499.0, 7=8893.0, 6=64363.0, 4=10442.0, 5=45554.0, 8=4738.0, 0=61341.0}",rio_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022.0_00000000000000000003,1.6883271846844034E9,"{null=348422.0, 1=1.6169987E7, 3=329.0, 2=40284.0, 7=1081.0, 6=257985.0, 4=9567.0, 5=52257.0, 8=123.0, 0=42814.0}",rio_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022.0_00000000000000000004,3.231897661181557E9,"{null=5892597.0, 1=1.7420429E7, 3=811.0, 2=3967761.0, 7=114316.0, 6=31110.0, 4=151175.0, 5=4564747.0, 8=119012.0, 0=133141.0}",rio_nago_above_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022.0_00000000000000000005,5.919099660911393E9,"{null=6345283.0, 1=4.3100991E7, 3=1155.0, 2=4052459.0, 7=134959.0, 6=426443.0, 4=175695.0, 5=4671600.0, 8=123873.0, 0=299379.0}",rio_napo_below_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022.0_00000000000000000006,1.3545183661914322E8,"{1=1301502.0, 3=233.0, 2=1938.0, 7=60.0, 6=47575.0, 4=498.0, 5=2526.0, 8=13.0, 0=3588.0}",rio_tena,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023.0_00000000000000000000,6.860124567052346E7,{null=687708.0},Llandia,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023.0_00000000000000000001,1.0933858569889357E7,{null=109675.0},mining_shed,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023.0_00000000000000000002,8.186975093333975E8,{null=8207306.0},rio_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023.0_00000000000000000003,1.6883271846844034E9,"{null=1.6213866E7, 1=696194.0, 2=66.0, 7=112.0, 6=4460.0, 4=4472.0, 5=347.0, 8=2145.0, 0=1187.0}",rio_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023.0_00000000000000000004,3.231897661181557E9,{null=3.2395099E7},rio_nago_above_azul,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023.0_00000000000000000005,5.919099660911393E9,"{null=5.8422647E7, 1=893748.0, 2=65.0, 7=175.0, 6=5164.0, 4=3812.0, 5=426.0, 8=3051.0, 0=2749.0}",rio_napo_below_misahualli,"{""type"":""MultiPoint"",""coordinates"":[]}"
2023.0_00000000000000000006,1.3545183661914322E8,{null=1357933.0},rio_tena,"{""type"":""MultiPoint"",""coordinates"":[]}"
